"","x"
"551","ENSG00000254485"
"552","ENSG00000269894"
"553","ENSG00000269982"
"554","ENSG00000180385"
"555","ENSG00000206567"
"556","ENSG00000228242"
"557","ENSG00000224728"
"558","ENSG00000271964"
"559","ENSG00000272498"
"560","ENSG00000272529"
"561","ENSG00000228956"
"562","ENSG00000272511"
"563","ENSG00000132967"
"564","ENSG00000228791"
"565","ENSG00000213846"
"566","ENSG00000272282"
"567","ENSG00000228214"
"568","ENSG00000261468"
"569","ENSG00000261572"
"570","ENSG00000271324"
"571","ENSG00000271643"
"572","ENSG00000271020"
"573","ENSG00000271835"
"574","ENSG00000224858"
"575","ENSG00000271993"
"576","ENSG00000272452"
"577","ENSG00000234287"
"578","ENSG00000232354"
"579","ENSG00000271941"
"580","ENSG00000234617"
"581","ENSG00000272121"
"582","ENSG00000261786"
"583","ENSG00000272077"
"584","ENSG00000244357"
"585","ENSG00000206549"
"586","ENSG00000188086"
"587","ENSG00000227398"
"588","ENSG00000260236"
"589","ENSG00000228638"
"590","ENSG00000270441"
"591","ENSG00000225399"
"592","ENSG00000230454"
"593","ENSG00000273356"
"594","ENSG00000179837"
"595","ENSG00000239557"
"596","ENSG00000162290"
"597","ENSG00000271976"
"598","ENSG00000272182"
"599","ENSG00000226360"
"600","ENSG00000243410"
"601","ENSG00000270059"
"602","ENSG00000241506"
"603","ENSG00000244513"
"604","ENSG00000270562"
"605","ENSG00000242960"
"606","ENSG00000213300"
"607","ENSG00000229729"
"608","ENSG00000243547"
"609","ENSG00000233280"
"610","ENSG00000273374"
"611","ENSG00000273488"
"612","ENSG00000242299"
"613","ENSG00000244119"
"614","ENSG00000242759"
"615","ENSG00000241218"
"616","ENSG00000244720"
"617","ENSG00000272761"
"618","ENSG00000241889"
"619","ENSG00000259976"
"620","ENSG00000242622"
"621","ENSG00000272947"
"622","ENSG00000241278"
"623","ENSG00000244300"
"624","ENSG00000261159"
"625","ENSG00000231305"
"626","ENSG00000273174"
"627","ENSG00000273437"
"628","ENSG00000206417"
"629","ENSG00000203644"
"630","ENSG00000253540"
"631","ENSG00000228252"
"632","ENSG00000261167"
"633","ENSG00000221972"
"634","ENSG00000260633"
"635","ENSG00000273486"
"636","ENSG00000239213"
"637","ENSG00000240668"
"638","ENSG00000272565"
"639","ENSG00000241679"
"640","ENSG00000244171"
"641","ENSG00000261051"
"642","ENSG00000232013"
"643","ENSG00000268175"
"644","ENSG00000243305"
"645","ENSG00000241732"
"646","ENSG00000272990"
"647","ENSG00000243926"
"648","ENSG00000230457"
"649","ENSG00000241135"
"650","ENSG00000243176"
"651","ENSG00000272087"
"652","ENSG00000240207"
"653","ENSG00000271778"
"654","ENSG00000250588"
"655","ENSG00000229320"
"656","ENSG00000260572"
"657","ENSG00000234851"
"658","ENSG00000213178"
"659","ENSG00000269984"
"660","ENSG00000270096"
"661","ENSG00000273193"
"662","ENSG00000240429"
"663","ENSG00000273190"
"664","ENSG00000269728"
"665","ENSG00000242539"
"666","ENSG00000145075"
"667","ENSG00000273261"
"668","ENSG00000243368"
"669","ENSG00000233885"
"670","ENSG00000228205"
"671","ENSG00000229638"
"672","ENSG00000263826"
"673","ENSG00000223803"
"674","ENSG00000203632"
"675","ENSG00000223401"
"676","ENSG00000232874"
"677","ENSG00000225742"
"678","ENSG00000233058"
"679","ENSG00000244675"
"680","ENSG00000231770"
"681","ENSG00000229334"
"682","ENSG00000229325"
"683","ENSG00000224769"
"684","ENSG00000271662"
"685","ENSG00000229178"
"686","ENSG00000231443"
"687","ENSG00000260261"
"688","ENSG00000231464"
"689","ENSG00000225822"
"690","ENSG00000230732"
"691","ENSG00000249626"
"692","ENSG00000236833"
"693","ENSG00000248302"
"694","ENSG00000197701"
"695","ENSG00000251188"
"696","ENSG00000272927"
"697","ENSG00000272588"
"698","ENSG00000251639"
"699","ENSG00000227189"
"700","ENSG00000273179"
"701","ENSG00000196810"
"702","ENSG00000179979"
"703","ENSG00000244459"
"704","ENSG00000270195"
"705","ENSG00000218422"
"706","ENSG00000249673"
"707","ENSG00000261643"
"708","ENSG00000250986"
"709","ENSG00000245468"
"710","ENSG00000251615"
"711","ENSG00000205959"
"712","ENSG00000250942"
"713","ENSG00000261490"
"714","ENSG00000249863"
"715","ENSG00000231160"
"716","ENSG00000196355"
"717","ENSG00000255458"
"718","ENSG00000260296"
"719","ENSG00000250893"
"720","ENSG00000250906"
