"","genes","logFC","logCPM","LR","PValue","FDR"
"124","ENSG00000186517",-2.41251188753384,4.96114665986649,31.3937092028437,2.10662352668783e-08,3.30553015796493e-06
"125","ENSG00000186265",-3.55021453479035,1.66316166023116,31.2889899580122,2.22336980834962e-08,3.46080850888469e-06
"126","ENSG00000234883",-2.5368214546482,1.88391588067587,31.2344710713541,2.28669351902821e-08,3.53112665077238e-06
"127","ENSG00000271046",-4.53861770532772,-0.382327419941505,31.1975550556689,2.33059423868448e-08,3.57058048047905e-06
"128","ENSG00000165178",-2.98112578354413,1.5753362075387,31.149856970599,2.3885696081955e-08,3.58522302979311e-06
"129","ENSG00000226979",-2.9618008403789,-0.0168505085327041,31.1481210918002,2.39070653907499e-08,3.58522302979311e-06
"130","ENSG00000138964",-2.39486554336144,5.0847772573999,31.1442888781922,2.39543091881124e-08,3.58522302979311e-06
"131","ENSG00000198796",-4.43454337764683,1.1145668678978,31.1118640478058,2.43578066368025e-08,3.61778506665851e-06
"132","ENSG00000126787",-3.38148371157392,0.0194725871832775,31.0849959784413,2.46973087681546e-08,3.64042073259079e-06
"133","ENSG00000007129",-2.23354229648009,1.05532768575494,31.0311295082007,2.53923055297034e-08,3.7147224713642e-06
"134","ENSG00000129173",-3.88008300036084,-0.592195634610814,31.0110103124587,2.56568840042217e-08,3.72541785126972e-06
"135","ENSG00000103653",-1.20248228132414,5.85749889799027,30.9919105313037,2.59106115076737e-08,3.73439087485042e-06
"136","ENSG00000109805",-3.25582860438681,0.320129735845329,30.9611161234641,2.63249982322933e-08,3.75922039650052e-06
"137","ENSG00000117724",-2.54365369462941,1.44503082649472,30.9505063798841,2.64693012448256e-08,3.75922039650052e-06
"138","ENSG00000272282",-2.93609251766007,0.200159452224176,30.8958863798576,2.72248234079184e-08,3.83850281918746e-06
"139","ENSG00000072786",-1.25661725686285,5.41952889165215,30.8413885721569,2.80001867361869e-08,3.91942182248913e-06
"140","ENSG00000173200",-2.86931448351788,4.81335277202336,30.7857444431979,2.88146892696969e-08,4.00462435086066e-06
"141","ENSG00000151012",3.37494004755942,4.45098027139146,30.756361008655,2.92543284788267e-08,4.02363015850095e-06
"142","ENSG00000245904",-2.48156112067753,0.490112530331616,30.7490316338163,2.93650348207399e-08,4.02363015850095e-06
"143","ENSG00000099308",-1.13167287649484,4.90138943895453,30.7067594812981,3.00117736182844e-08,4.08349006497175e-06
"144","ENSG00000143228",-2.77678906003837,0.0744589641899317,30.5691105746846,3.22182618093505e-08,4.35326888905926e-06
"145","ENSG00000175857",-3.4874442821793,1.78873393120546,30.5354680197205,3.2781818102468e-08,4.39886782634289e-06
"146","ENSG00000146285",-2.81995703784918,2.27580188444195,30.4446176112648,3.43535163446359e-08,4.57819429806562e-06
"147","ENSG00000107317",-2.25317259369283,5.77705860013239,30.4109391679811,3.49551391797749e-08,4.62668124504e-06
"148","ENSG00000170486",-4.22998463746086,0.219083627910807,30.3713929120903,3.56750711585552e-08,4.69006661845952e-06
"149","ENSG00000165359",-1.15440337765682,4.68785369888234,30.2780528416698,3.74337721379365e-08,4.87692853819708e-06
"150","ENSG00000104972",-2.5012203739745,3.42168031724241,30.2695754081932,3.75977427522003e-08,4.87692853819708e-06
"151","ENSG00000162777",-1.26476960169557,5.41619464679077,30.2033576210748,3.89035381811828e-08,5.01288836020711e-06
"152","ENSG00000162894",-2.79439249199615,4.47242344074461,30.1769736582172,3.94363937886969e-08,5.02313889595552e-06
"153","ENSG00000143851",-2.64962040211896,4.07892229673402,30.1738765178483,3.94994218574906e-08,5.02313889595552e-06
"154","ENSG00000132182",-1.26623226867832,6.27430328904945,30.0607207178986,4.18727213111458e-08,5.29037362695431e-06
"155","ENSG00000096996",-2.75579609529456,2.20373456555486,30.0415191582952,4.22893989956283e-08,5.30854733069639e-06
"156","ENSG00000261471",-3.25577923121314,-0.596172740466646,29.9740605342208,4.37864748119982e-08,5.43060917538366e-06
"157","ENSG00000142347",-1.82636265032323,4.85347568325753,29.9725766986678,4.38199948879701e-08,5.43060917538366e-06
"158","ENSG00000272053",-2.7705722164016,-0.700033961839474,29.8515478911456,4.66424351576758e-08,5.74380924596771e-06
"159","ENSG00000197943",-1.55768616581715,5.2077805657797,29.789035525087,4.81708629070819e-08,5.89471999737794e-06
"160","ENSG00000270164",-2.69699813614003,1.99517536498568,29.7543996046623,4.9039211962627e-08,5.95970467705002e-06
"161","ENSG00000100604",8.95013707516881,4.9884070885889,29.743546886615,4.93145116413144e-08,5.95970467705002e-06
"162","ENSG00000130755",-1.10754963107268,4.57964881605774,29.7277587157696,4.971777558055e-08,5.96204681488188e-06
"163","ENSG00000185974",1.73510328526956,2.82614017965457,29.718851722807,4.99467354076038e-08,5.96204681488188e-06
"164","ENSG00000105255",-3.28738777427066,-0.718976964849322,29.5833221662293,5.35638397245193e-08,6.35482700926812e-06
"165","ENSG00000238121",-2.90217029882567,1.94698330668001,29.5414536990042,5.47334600058056e-08,6.45423594747249e-06
"166","ENSG00000105501",-2.38445593866877,0.112420691423302,29.4488090469374,5.74133097764845e-08,6.72900821193844e-06
"167","ENSG00000140451",-1.94187339032575,1.56666615565907,29.4372999887015,5.77552742660081e-08,6.72900821193844e-06
"168","ENSG00000089820",-2.01921224242007,6.27045121818419,29.351130611186,6.03812779194201e-08,6.99308645522713e-06
"169","ENSG00000239713",-1.5738530799689,3.39910796385342,29.2758794439867,6.27722260050997e-08,7.14760670376638e-06
"170","ENSG00000074370",-1.84739758393467,6.57672039859434,29.2758237279011,6.27740309564317e-08,7.14760670376638e-06
"171","ENSG00000083454",-3.85301603457975,4.17281638866027,29.2744813609808,6.28175333475896e-08,7.14760670376638e-06
"172","ENSG00000076928",-1.1808653316033,7.79985944018232,29.2620641850834,6.32213743578278e-08,7.15173419116428e-06
"173","ENSG00000129993",-1.40583530938874,4.09120378843862,29.2124062601801,6.48625591288146e-08,7.25892340357547e-06
"174","ENSG00000180353",-1.66423070574719,6.11376484648596,29.2108380433286,6.49150779782151e-08,7.25892340357547e-06
"175","ENSG00000069424",-1.56813523281517,5.18936577226535,29.1634450082447,6.65225093700768e-08,7.39616265607762e-06
"176","ENSG00000106948",-1.4751956629445,6.30008284515886,29.1337183852936,6.75510397391081e-08,7.46784420570356e-06
"177","ENSG00000181885",1.02503870705534,6.46325560648508,29.1207886215094,6.80033630446155e-08,7.47537533762194e-06
